,date,open,high,low,close,volume,oi
0,2020-01-21 09:15:00+05:30,481.0,482.45,476.05,482.35,140990,0
1,2020-01-21 09:30:00+05:30,482.35,483.55,481.0,482.5,49612,0
2,2020-01-21 09:45:00+05:30,482.55,483.75,479.3,479.6,188581,0
3,2020-01-21 10:00:00+05:30,479.6,481.65,479.0,479.15,34248,0
4,2020-01-21 10:15:00+05:30,479.15,480.0,478.2,478.5,29910,0
5,2020-01-21 10:30:00+05:30,478.5,478.55,476.75,476.8,49873,0
6,2020-01-21 10:45:00+05:30,476.8,479.65,476.4,477.9,40157,0
7,2020-01-21 11:00:00+05:30,477.75,478.0,477.05,477.9,17039,0
8,2020-01-21 11:15:00+05:30,477.8,478.8,477.0,477.5,19563,0
9,2020-01-21 11:30:00+05:30,477.45,478.2,476.85,478.05,39792,0
10,2020-01-21 11:45:00+05:30,477.7,481.3,477.0,479.1,88605,0
11,2020-01-21 12:00:00+05:30,479.05,480.0,478.0,479.15,34296,0
12,2020-01-21 12:15:00+05:30,479.15,479.15,478.0,478.05,28289,0
13,2020-01-21 12:30:00+05:30,478.0,478.9,478.0,478.2,27210,0
14,2020-01-21 12:45:00+05:30,478.0,479.0,478.0,479.0,28291,0
15,2020-01-21 13:00:00+05:30,478.6,479.0,478.0,478.1,29885,0
16,2020-01-21 13:15:00+05:30,478.0,478.5,478.0,478.0,29952,0
17,2020-01-21 13:30:00+05:30,478.0,478.5,477.05,477.2,26145,0
18,2020-01-21 13:45:00+05:30,477.2,478.45,477.05,477.65,28239,0
19,2020-01-21 14:00:00+05:30,477.65,477.65,477.0,477.15,13666,0
20,2020-01-21 14:15:00+05:30,477.15,478.4,477.0,477.45,51343,0
21,2020-01-21 14:30:00+05:30,477.45,477.5,476.8,477.45,44120,0
22,2020-01-21 14:45:00+05:30,477.5,477.5,477.0,477.25,25201,0
23,2020-01-21 15:00:00+05:30,477.25,477.45,476.0,477.2,78985,0
24,2020-01-21 15:15:00+05:30,476.75,477.2,476.55,477.0,107036,0
25,2020-01-22 09:15:00+05:30,479.8,486.0,479.8,482.4,195974,0
26,2020-01-22 09:30:00+05:30,482.45,485.8,482.05,485.75,426729,0
27,2020-01-22 09:45:00+05:30,485.7,487.0,482.75,483.1,229374,0
28,2020-01-22 10:00:00+05:30,483.1,483.3,481.2,481.6,59289,0
29,2020-01-22 10:15:00+05:30,481.55,482.0,480.15,481.0,28296,0
30,2020-01-22 10:30:00+05:30,481.0,481.7,480.5,481.4,29573,0
31,2020-01-22 10:45:00+05:30,481.4,481.7,479.15,479.6,49316,0
32,2020-01-22 11:00:00+05:30,479.6,480.3,478.05,480.0,70932,0
33,2020-01-22 11:15:00+05:30,480.0,480.75,479.2,480.1,44694,0
34,2020-01-22 11:30:00+05:30,480.45,481.5,480.0,481.1,30722,0
35,2020-01-22 11:45:00+05:30,481.1,481.4,481.0,481.05,23030,0
