,date,open,high,low,close,volume,oi
0,2020-01-21 09:15:00+05:30,313.8,316.2,312.8,315.75,3231930,0
1,2020-01-21 09:30:00+05:30,315.65,316.45,315.05,316.0,1878183,0
2,2020-01-21 09:45:00+05:30,316.1,316.9,314.9,316.8,1868171,0
3,2020-01-21 10:00:00+05:30,316.8,316.8,315.25,315.3,1097680,0
4,2020-01-21 10:15:00+05:30,315.3,315.3,313.8,313.9,1968218,0
5,2020-01-21 10:30:00+05:30,313.85,314.0,312.05,313.05,2290845,0
6,2020-01-21 10:45:00+05:30,313.0,313.3,312.3,312.8,929881,0
7,2020-01-21 11:00:00+05:30,312.8,313.95,312.8,313.95,933496,0
8,2020-01-21 11:15:00+05:30,313.95,314.9,312.85,313.2,2287831,0
9,2020-01-21 11:30:00+05:30,313.15,314.05,312.75,313.7,834699,0
10,2020-01-21 11:45:00+05:30,313.7,314.1,313.55,313.75,550517,0
11,2020-01-21 12:00:00+05:30,313.7,315.2,313.7,314.45,1661135,0
12,2020-01-21 12:15:00+05:30,314.45,314.5,313.85,314.45,524544,0
13,2020-01-21 12:30:00+05:30,314.3,314.45,313.4,313.8,571994,0
14,2020-01-21 12:45:00+05:30,313.8,314.3,313.6,314.15,369778,0
15,2020-01-21 13:00:00+05:30,314.15,314.95,314.1,314.6,736190,0
16,2020-01-21 13:15:00+05:30,314.7,314.7,314.1,314.6,554581,0
17,2020-01-21 13:30:00+05:30,314.5,314.65,313.85,313.9,572281,0
18,2020-01-21 13:45:00+05:30,313.85,314.5,313.55,314.3,610988,0
19,2020-01-21 14:00:00+05:30,314.2,314.35,313.7,313.9,484256,0
20,2020-01-21 14:15:00+05:30,313.85,314.4,313.1,313.7,736674,0
21,2020-01-21 14:30:00+05:30,313.65,314.7,313.55,314.2,1038991,0
22,2020-01-21 14:45:00+05:30,314.15,314.5,313.85,314.25,704943,0
23,2020-01-21 15:00:00+05:30,314.25,314.25,313.35,313.8,1505295,0
24,2020-01-21 15:15:00+05:30,313.8,314.0,313.35,313.9,2557071,0
25,2020-01-22 09:15:00+05:30,317.0,317.0,315.5,316.05,2794836,0
26,2020-01-22 09:30:00+05:30,316.05,316.3,315.25,315.6,1161075,0
27,2020-01-22 09:45:00+05:30,315.65,315.9,315.0,315.35,955276,0
28,2020-01-22 10:00:00+05:30,315.35,315.95,314.9,315.45,1037293,0
29,2020-01-22 10:15:00+05:30,315.5,316.0,313.7,313.95,2141900,0
30,2020-01-22 10:30:00+05:30,313.85,314.35,313.7,314.05,1042065,0
31,2020-01-22 10:45:00+05:30,314.15,314.8,314.0,314.4,640997,0
32,2020-01-22 11:00:00+05:30,314.4,314.45,313.9,314.0,588312,0
33,2020-01-22 11:15:00+05:30,314.05,314.3,313.75,314.3,582186,0
34,2020-01-22 11:30:00+05:30,314.3,314.8,314.2,314.3,648572,0
35,2020-01-22 11:45:00+05:30,314.35,314.55,313.8,314.4,573486,0
36,2020-01-22 12:00:00+05:30,314.4,315.0,314.05,314.2,821408,0
37,2020-01-22 12:15:00+05:30,314.25,315.1,314.15,314.8,807590,0
38,2020-01-22 12:30:00+05:30,314.85,315.0,314.5,314.95,407723,0
39,2020-01-22 12:45:00+05:30,314.95,315.9,314.55,315.4,755260,0
40,2020-01-22 13:00:00+05:30,315.4,315.7,315.15,315.5,593438,0
41,2020-01-22 13:15:00+05:30,315.5,316.0,315.25,315.6,802814,0
42,2020-01-22 13:30:00+05:30,315.65,316.7,315.4,315.85,1235455,0
43,2020-01-22 13:45:00+05:30,315.9,316.6,315.65,316.05,822084,0
44,2020-01-22 14:00:00+05:30,316.1,316.15,314.35,314.85,1141314,0
45,2020-01-22 14:15:00+05:30,314.85,315.0,314.0,314.65,782072,0
46,2020-01-22 14:30:00+05:30,314.65,315.35,314.65,314.95,553020,0
47,2020-01-22 14:45:00+05:30,315.0,315.85,314.85,315.5,741366,0
48,2020-01-22 15:00:00+05:30,315.55,316.5,315.3,316.05,1289201,0
49,2020-01-22 15:15:00+05:30,316.1,316.7,315.6,315.7,2001887,0
50,2020-01-23 09:15:00+05:30,316.0,317.4,314.15,317.15,3308179,0
51,2020-01-23 09:30:00+05:30,317.05,319.9,317.05,319.25,3087352,0
52,2020-01-23 09:45:00+05:30,319.3,319.7,318.3,318.7,1410379,0
53,2020-01-23 10:00:00+05:30,318.8,319.2,318.4,318.7,830068,0
54,2020-01-23 10:15:00+05:30,318.7,319.0,317.3,317.5,1031065,0
55,2020-01-23 10:30:00+05:30,317.55,318.3,317.2,318.2,753673,0
56,2020-01-23 10:45:00+05:30,318.3,318.45,317.55,317.85,399914,0
57,2020-01-23 11:00:00+05:30,317.9,317.95,317.05,317.2,553340,0
58,2020-01-23 11:15:00+05:30,317.2,317.75,316.55,317.2,711125,0
59,2020-01-23 11:30:00+05:30,317.2,318.1,317.15,317.7,644790,0
60,2020-01-23 11:45:00+05:30,317.7,318.2,317.45,317.8,908438,0
61,2020-01-23 12:00:00+05:30,317.75,318.6,317.6,318.5,471540,0
62,2020-01-23 12:15:00+05:30,318.55,319.45,318.3,318.7,1167597,0
63,2020-01-23 12:30:00+05:30,318.8,320.45,318.75,319.85,1957944,0
64,2020-01-23 12:45:00+05:30,319.9,321.0,319.8,320.9,1228919,0
65,2020-01-23 13:00:00+05:30,320.9,321.75,320.6,321.75,1554331,0
66,2020-01-23 13:15:00+05:30,321.65,322.4,321.35,321.8,1280827,0
67,2020-01-23 13:30:00+05:30,321.8,322.8,321.05,322.3,1611728,0
68,2020-01-23 13:45:00+05:30,322.35,323.35,321.75,321.8,1552016,0
69,2020-01-23 14:00:00+05:30,321.85,323.3,321.5,322.95,1313780,0
70,2020-01-23 14:15:00+05:30,322.85,324.75,322.85,324.05,1953062,0
71,2020-01-23 14:30:00+05:30,324.1,324.5,323.7,323.85,989164,0
72,2020-01-23 14:45:00+05:30,323.85,324.1,323.15,323.45,988899,0
73,2020-01-23 15:00:00+05:30,323.5,323.9,322.75,323.15,1493554,0
74,2020-01-23 15:15:00+05:30,323.1,323.55,322.7,323.15,2034474,0
