Date,SPY,VIX
2024-09-25,570.04,15.41
2024-09-26,572.3,15.37
2024-09-27,571.47,16.96
2024-09-30,573.76,16.73
2024-10-01,568.62,19.26
2024-10-02,568.86,18.9
2024-10-03,567.82,20.49
2024-10-04,572.98,19.21
2024-10-07,567.8,22.64
2024-10-08,573.17,21.42
2024-10-09,577.14,20.86
2024-10-10,576.13,20.93
2024-10-11,579.58,20.46
2024-10-14,584.32,19.7
2024-10-15,579.78,20.64
2024-10-16,582.3,19.58
2024-10-17,582.35,19.11
2024-10-18,584.59,18.03
2024-10-21,583.63,18.37
2024-10-22,583.32,18.2
2024-10-23,577.99,19.24
2024-10-24,579.24,19.08
2024-10-25,579.04,20.33
2024-10-28,580.83,19.8
2024-10-29,581.77,19.34
2024-10-30,580.01,20.35
2024-10-31,568.64,23.16
2024-11-01,571.04,21.88
2024-11-04,569.81,21.98
2024-11-05,576.7,20.49
2024-11-06,591.04,16.27
2024-11-07,595.61,15.2
2024-11-08,598.19,14.94
2024-11-11,598.76,14.97
2024-11-12,596.9,14.71
2024-11-13,597.19,14.02
2024-11-14,593.35,14.31
2024-11-15,585.75,16.14
2024-11-18,588.15,15.58
2024-11-19,590.3,16.35
2024-11-20,590.5,17.16
2024-11-21,593.67,16.87
2024-11-22,595.51,15.24
2024-11-25,597.53,14.6
2024-11-26,600.65,14.1
2024-11-27,598.83,13.9
2024-11-29,602.55,13.52
2024-12-02,603.63,13.34
2024-12-03,603.91,13.3
2024-12-04,607.66,13.45
2024-12-05,606.66,13.54
2024-12-06,607.81,12.77
2024-12-09,604.68,14.19
2024-12-10,602.8,14.18
2024-12-11,607.46,13.58
2024-12-12,604.33,13.92
2024-12-13,604.21,13.81
2024-12-16,606.79,14.69
2024-12-17,604.29,15.87
2024-12-18,586.28,27.62
2024-12-19,586.1,24.09
2024-12-20,591.15,18.36
2024-12-23,594.69,16.78
2024-12-24,601.3,14.28
2024-12-26,601.34,14.73
2024-12-27,595.01,15.95
2024-12-30,588.22,17.4
2024-12-31,586.08,17.35
2025-01-02,584.64,17.93
2025-01-03,591.95,16.13
2025-01-06,595.36,16.04
2025-01-07,588.63,17.82
2025-01-08,589.49,18.07
2025-01-10,580.49,19.54
2025-01-13,581.39,19.19
2025-01-14,582.19,18.71
2025-01-15,592.78,16.12
2025-01-16,591.64,16.6
2025-01-17,597.58,15.81
2025-01-21,603.05,15.06
2025-01-22,606.44,15.1
2025-01-23,609.75,15.02
2025-01-24,607.97,14.85
2025-01-27,599.37,17.9
2025-01-28,604.52,16.41
2025-01-29,601.81,16.56
2025-01-30,605.04,15.84
2025-01-31,601.82,16.43
2025-02-03,597.77,18.62
2025-02-04,601.78,17.21
2025-02-05,604.22,15.77
2025-02-06,606.32,15.5
2025-02-07,600.77,16.54
2025-02-10,604.85,15.81
2025-02-11,605.31,16.02
2025-02-12,603.36,15.89
2025-02-13,609.73,15.1
2025-02-14,609.7,15.37
2025-02-18,611.49,15.35
2025-02-19,612.93,15.27
2025-02-20,610.38,15.66
2025-02-21,599.94,18.21
2025-02-24,597.21,18.98
2025-02-25,594.24,19.43
2025-02-26,594.54,19.1
2025-02-27,585.05,21.13
2025-02-28,594.18,19.63
2025-03-03,583.77,22.78
2025-03-04,576.86,23.51
2025-03-05,583.06,21.93
2025-03-06,572.71,24.87
2025-03-07,575.92,23.37
2025-03-10,560.58,27.86
2025-03-11,555.92,26.92
2025-03-12,558.87,24.23
2025-03-13,551.42,24.66
2025-03-14,562.81,21.77
2025-03-17,567.15,20.51
2025-03-18,561.02,21.7
2025-03-19,567.13,19.9
2025-03-20,565.49,19.8
2025-03-21,563.98,19.28
2025-03-24,574.08,17.48
2025-03-25,575.46,17.15
2025-03-26,568.59,18.33
2025-03-27,567.08,18.69
2025-03-28,555.66,21.65
2025-03-31,559.39,22.28
2025-04-01,560.97,21.77
2025-04-02,564.52,21.51
2025-04-03,536.7,30.02
2025-04-04,505.28,45.31
2025-04-07,504.38,46.98
2025-04-08,496.48,52.33
2025-04-09,548.62,33.62
2025-04-10,524.58,40.72
2025-04-11,533.94,37.56
2025-04-14,539.12,30.89
2025-04-15,537.61,30.12
2025-04-16,525.66,32.64
2025-04-17,526.41,29.65
2025-04-21,513.88,33.82
2025-04-22,527.25,30.57
2025-04-23,535.42,28.45
2025-04-24,546.69,26.47
2025-04-25,550.64,24.84
2025-04-28,550.85,25.15
2025-04-29,554.32,24.17
2025-04-30,554.54,24.7
2025-05-01,558.47,24.6
2025-05-02,566.76,22.68
2025-05-05,563.51,23.64
2025-05-06,558.8,24.76
2025-05-07,561.15,23.55
2025-05-08,565.06,22.48
2025-05-09,564.34,21.9
2025-05-12,582.99,18.39
2025-05-13,586.84,18.22
2025-05-14,587.59,18.62
2025-05-15,590.46,17.83
2025-05-16,594.2,17.24
2025-05-19,594.85,18.14
2025-05-20,592.85,18.09
2025-05-21,582.86,20.87
2025-05-22,583.09,20.28
2025-05-23,579.11,20.57
2025-05-27,591.15,18.96
2025-05-28,587.73,19.31
2025-05-29,590.05,19.18
2025-05-30,589.39,18.57
2025-06-02,592.71,18.36
2025-06-03,596.09,17.69
2025-06-04,595.93,17.61
2025-06-05,593.05,18.48
2025-06-06,599.14,16.77
2025-06-09,599.68,17.16
2025-06-10,603.08,16.95
2025-06-11,601.36,17.26
2025-06-12,603.75,18.02
2025-06-13,597.0,20.82
2025-06-16,602.68,19.11
2025-06-17,597.53,21.6
2025-06-18,597.44,22.17
2025-06-20,594.28,20.62
2025-06-23,600.15,19.83
2025-06-24,606.78,17.48
2025-06-25,607.12,16.76
2025-06-26,611.87,16.59
2025-06-27,614.91,16.32
2025-06-30,617.85,16.73
2025-07-01,617.65,16.83
2025-07-02,620.45,16.64
2025-07-03,625.34,16.4
2025-07-07,620.68,17.79
2025-07-08,620.34,16.81
2025-07-09,624.06,15.94
2025-07-10,625.82,15.78
2025-07-11,623.62,16.4
2025-07-14,624.81,17.2
