Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,.SPX,.VIX,EUR=,XAU=,GDX,GLD
2019-03-01 00:00:00,173.15,112.09,53.03,1640.4,,278.59,,,1.1373,1314.0663,22.24,124.07
2019-03-01 01:00:00,173.44,112.24,,1642.8,,278.8,,,1.1369,1312.91,22.24,124.08
2019-03-01 02:00:00,,,,,,,,,1.1372,1314.3636,,
2019-03-01 03:00:00,,,,,,,,,1.1367,1313.2452,,
2019-03-01 04:00:00,,,,,,,,,1.1369,1313.1746,,
2019-03-01 05:00:00,,,,,,,,,1.1374,1312.81,,
2019-03-01 06:00:00,,,,,,,,,1.1368,1311.5743,,
2019-03-01 07:00:00,,,,,,,,,1.136,1310.351,,
2019-03-01 08:00:00,,,,,,,,,1.137,1308.71,,
2019-03-01 09:00:00,,,,,,,,14.37,1.1361,1307.2,,
2019-03-01 10:00:00,174.5,112.83,53.05,1648.36,,280.08,,14.42,1.1359,1307.9023,22.09,123.52
2019-03-01 11:00:00,174.37,112.98,53.45,1649.11,,280.11,,14.42,1.1372,1308.51,22.15,123.62
2019-03-01 12:00:00,174.49,113.0,,1652.35,,280.23,,14.39,1.1384,1308.746,,123.64
2019-03-01 13:00:00,174.45,112.84,53.4,1653.04,,280.3,,14.37,1.1376,1306.0219,22.09,123.38
2019-03-01 14:00:00,174.02,112.73,53.31,1651.72,,280.15,,14.38,1.138,1305.5778,22.0599,123.33
2019-03-01 15:00:00,174.22,112.48,53.64,1657.73,200.69,280.79,2807.02,14.11,1.1395,1308.3781,22.135,123.62
2019-03-01 16:00:00,173.685,112.08,53.29,1659.4348,198.79,279.82,2797.22,14.33,1.1384,1305.4611,22.16,123.32
2019-03-01 17:00:00,173.339,111.83,52.94,1656.0,197.68,279.1,2789.84,14.61,1.1373,1301.2491,22.005,122.9348
2019-03-01 18:00:00,174.1901,112.3699,53.14,1662.3301,198.63,279.68,2795.84,14.16,1.1364,1298.6105,21.925,122.66
2019-03-01 19:00:00,174.515,112.45,53.08,1669.17,197.96,279.7385,2796.37,13.91,1.1363,1296.2953,21.84,122.465
2019-03-01 20:00:00,174.9775,112.575,53.2658,1672.7906,198.41,280.33,2802.13,13.59,1.1357,1292.9265,21.78,122.17
