Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,EUR=,XAU=,GDX,GLD
2012-11-01,21.304975123575,29.515,22.26,11.607,124.85,142.83,1.2942,1714.09,52.01,166.07
2012-11-02,20.5999794,29.4998,22.06,11.621120000000001,123.25,141.56,1.2836,1677.35,49.76,162.6
2012-11-05,20.879304120675002,29.63,21.8391,11.716500000000002,124.08,141.8486,1.2795,1683.99,49.39,163.23
2012-11-06,20.816032755375,29.86,21.73,11.878,126.25,142.96,1.2813,1715.34,50.34,166.3
2012-11-07,19.928619357075,29.08,20.91,11.60304,117.98,139.72,1.277,1716.31,51.07,166.49
2012-11-08,19.2053379375,28.81,20.83,11.3675,115.27,138.04,1.2745,1729.99,51.41,167.99
2012-11-09,19.537837605,28.83,20.8,11.3155,116.15,138.16,1.2708,1730.86,50.67,167.82
2012-11-12,19.386766327500002,28.22,20.765,11.323500000000001,117.24,138.265,1.2707,1727.74,50.04,167.45
2012-11-13,19.3891948965,27.0895,20.28,11.33,116.47,137.79,1.2702,1724.89,49.48,167.1
2012-11-14,19.17426654,26.84,19.96,11.1475,114.24,135.9299,1.2734,1726.05,47.225,167.14
2012-11-15,18.772124085,26.6607,20.03,11.02995,115.44,135.7,1.2778,1715.19,45.97,166.09
2012-11-16,18.8456240115,26.5209,20.19,11.2615,115.84,136.37,1.2742,1713.09,46.47,165.88
2012-11-19,20.204622652500003,26.7277,20.25,11.485500000000002,118.3,139.13,1.2811,1731.5,47.765,167.87
2012-11-20,20.032601395950003,26.71,19.5132,11.689,118.09,139.19,1.2816,1728.04,47.36,167.39
2012-11-21,20.060694225000002,26.95,19.36,11.9015,117.7,139.45,1.2828,1728.53,48.08,167.56
2012-11-22,,,,,,,1.2882,1729.05,,
2012-11-23,20.410693875000003,27.7,19.72,11.994,120.31,141.35,1.2975,1752.5,48.74,169.61
2012-11-26,21.0546218025,27.385,19.885,12.181000000000001,120.94,141.05,1.2972,1748.49,48.75,169.43
2012-11-27,20.884979115,27.08,19.93,12.170085,118.41,140.33,1.2944,1741.65,47.46,168.71
2012-11-28,20.819264895000003,27.36,20.09,12.355500000000001,119.33,141.46,1.2951,1719.31,47.9,166.55
2012-11-29,21.04855038,26.95,19.53,12.563500000000001,118.73,142.12,1.2977,1724.79,48.04,167.1817
2012-11-30,20.90283624,26.615,19.565,12.602500000000001,117.79,142.155,1.2984,1714.4,47.55,166.05
2012-12-03,20.935336207500004,26.4294,19.54,12.516455,118.4,141.45,1.3053,1714.85,46.48,166.1267
2012-12-04,20.565886576950003,26.37,19.9694,12.624405000000001,116.58,141.25,1.3093,1696.74,46.645,164.42
2012-12-05,19.242562900275,26.67,19.85,12.698,117.13,141.5,1.3066,1693.41,45.3498,164.12
