,date,open,high,low,close,volume,oi
0,2020-01-21 09:15:00+05:30,94.7,95.6,94.3,95.35,2960873,0
1,2020-01-21 09:30:00+05:30,95.35,95.65,95.15,95.35,945511,0
2,2020-01-21 09:45:00+05:30,95.35,95.6,95.2,95.55,595689,0
3,2020-01-21 10:00:00+05:30,95.55,95.7,95.3,95.35,633782,0
4,2020-01-21 10:15:00+05:30,95.35,95.35,94.85,94.85,792214,0
5,2020-01-21 10:30:00+05:30,94.9,94.9,94.5,94.65,885840,0
6,2020-01-21 10:45:00+05:30,94.65,94.8,94.2,94.4,608792,0
7,2020-01-21 11:00:00+05:30,94.4,94.45,94.1,94.45,945116,0
8,2020-01-21 11:15:00+05:30,94.4,94.6,94.2,94.3,500391,0
9,2020-01-21 11:30:00+05:30,94.25,94.55,94.25,94.45,542333,0
10,2020-01-21 11:45:00+05:30,94.45,94.75,94.45,94.55,449240,0
11,2020-01-21 12:00:00+05:30,94.55,95.2,94.55,94.85,918738,0
12,2020-01-21 12:15:00+05:30,94.9,94.95,94.7,94.8,315527,0
13,2020-01-21 12:30:00+05:30,94.8,94.85,94.45,94.5,312727,0
14,2020-01-21 12:45:00+05:30,94.5,94.85,94.45,94.8,228524,0
15,2020-01-21 13:00:00+05:30,94.8,95.1,94.75,94.95,407874,0
16,2020-01-21 13:15:00+05:30,94.95,95.05,94.8,94.95,193925,0
17,2020-01-21 13:30:00+05:30,94.85,94.9,94.65,94.75,264408,0
18,2020-01-21 13:45:00+05:30,94.7,94.95,94.65,94.9,230236,0
19,2020-01-21 14:00:00+05:30,94.9,94.95,94.6,94.75,265432,0
20,2020-01-21 14:15:00+05:30,94.75,94.95,94.5,94.7,437184,0
21,2020-01-21 14:30:00+05:30,94.65,94.95,94.6,94.75,568700,0
22,2020-01-21 14:45:00+05:30,94.7,95.1,94.7,94.95,551917,0
23,2020-01-21 15:00:00+05:30,94.95,95.0,94.7,94.75,764508,0
24,2020-01-21 15:15:00+05:30,94.75,94.85,94.6,94.8,1033863,0
25,2020-01-22 09:15:00+05:30,95.5,95.75,94.9,95.0,1696787,0
26,2020-01-22 09:30:00+05:30,95.0,95.25,94.75,94.75,988933,0
27,2020-01-22 09:45:00+05:30,94.8,94.8,94.3,94.35,1105665,0
28,2020-01-22 10:00:00+05:30,94.35,94.65,94.2,94.4,578463,0
29,2020-01-22 10:15:00+05:30,94.45,94.55,94.1,94.2,599258,0
30,2020-01-22 10:30:00+05:30,94.2,94.5,94.1,94.35,466940,0
31,2020-01-22 10:45:00+05:30,94.35,94.6,94.35,94.5,258221,0
32,2020-01-22 11:00:00+05:30,94.45,94.5,94.25,94.25,239712,0
33,2020-01-22 11:15:00+05:30,94.3,94.6,94.15,94.5,678001,0
34,2020-01-22 11:30:00+05:30,94.55,94.75,94.3,94.35,1028768,0
35,2020-01-22 11:45:00+05:30,94.35,94.4,93.6,93.85,1797599,0
36,2020-01-22 12:00:00+05:30,93.85,93.9,93.5,93.7,601301,0
37,2020-01-22 12:15:00+05:30,93.7,93.95,93.6,93.9,402306,0
38,2020-01-22 12:30:00+05:30,93.9,94.0,93.8,93.95,247159,0
39,2020-01-22 12:45:00+05:30,93.9,94.15,93.75,94.05,243969,0
40,2020-01-22 13:00:00+05:30,94.05,94.3,93.95,94.1,402373,0
41,2020-01-22 13:15:00+05:30,94.1,94.35,94.1,94.25,353079,0
42,2020-01-22 13:30:00+05:30,94.25,94.5,94.1,94.35,425181,0
43,2020-01-22 13:45:00+05:30,94.35,94.45,94.1,94.3,472045,0
44,2020-01-22 14:00:00+05:30,94.3,94.35,93.75,94.0,644988,0
45,2020-01-22 14:15:00+05:30,94.0,94.1,93.8,94.05,246848,0
46,2020-01-22 14:30:00+05:30,94.05,94.15,94.0,94.05,177198,0
47,2020-01-22 14:45:00+05:30,94.05,94.35,94.05,94.2,392796,0
48,2020-01-22 15:00:00+05:30,94.15,94.4,94.1,94.3,997789,0
49,2020-01-22 15:15:00+05:30,94.3,94.5,94.25,94.4,1444706,0
50,2020-01-23 09:15:00+05:30,94.2,95.1,94.0,95.0,1745192,0
51,2020-01-23 09:30:00+05:30,95.05,95.55,94.95,95.25,1146756,0
52,2020-01-23 09:45:00+05:30,95.25,95.35,95.0,95.1,774485,0
